;R1A;R2;R3A;R4;R5;R6;S5;P1;P2A;P2B;P3A;P3B;P4;P5;P6;C1;C2;C3;C4;C5;C6
EC1;3;3;3;2;2;2;2;1;2;3;1;2;NA;NA;2;2;NA;NA;3;1;NA
EC2;;;;;;;;;;;;;;;;;;;;;
EC3;2;2;2;2;2;2;2;0;1;1;0;1;NA;NA;0;3;NA;NA;0;1;NA
EC4;2;2;2;2;2;1;2;0;1;1;1;1;NA;NA;1;2;NA;NA;0;1;NA
EC5;3;3;3;2;2;0;3;0;1;;0;1;NA;NA;0;2;NA;NA;0;1;NA
EC6;1;1;2;1;2;0;3;1;1;1;1;3;NA;NA;1;3;NA;NA;3;1;NA
EC7;2;1;2;1;2;0;1;1;1;1;1;;NA;NA;1;;NA;NA;;;NA
EC8;3;0;2;3;2;0;3;0;0;0;0;2;NA;NA;0;0;NA;NA;0;0;NA
EC9;2;0;2;2;2;0;3;1;1;1;1;2;NA;NA;1;2;NA;NA;3;0;NA
EC10;;;;;;;;;;;;;;;;;;;;;
EC11;2;0;2;2;1;0;0;2;1;0;2;2;NA;NA;0;3;NA;NA;2;2;NA
EC12;;;;;;;;;;;;;;;;;;;;;
EC13;1;0;1;1;1;0;0;2;0;0;1;3;NA;NA;0;;NA;NA;;;NA
EC14;;;;;;;;;;;;;;;;;;;;;
EC15;1;0;1;3;1;0;0;2;0;0;2;3;NA;NA;0;3;NA;NA;2;2;NA
EC16;;;;;;;;;;;;;;;;;;;;;
EC17;1;0;2;2;3;0;0;2;3;3;0;2;NA;NA;0;3;NA;NA;3;2;NA
EC18;1;0;1;3;1;0;0;2;0;0;2;3;NA;NA;0;3;NA;NA;2;2;NA
EC19;1;0;1;2;1;0;0;2;0;2;0;1;NA;NA;2;3;NA;NA;2;3;NA
EC20;;;;;;;;;;;;;;;;;;;;;
